empty,control,prompt
-12.337984085083008,-15.450393676757812,-16.34846305847168
-10.930073738098145,-15.779542922973633,-16.79501724243164
-1.2502250671386719,-14.36856460571289,-9.178590774536133
-5.686393737792969,-15.198232650756836,-13.292830467224121
-8.262138366699219,-14.546789169311523,-13.910927772521973
-5.87152099609375,-15.86546516418457,-15.925634384155273
-6.398305892944336,-13.303485870361328,-14.951702117919922
-3.48638916015625,-10.807222366333008,0.6560707092285156
-14.344091415405273,-15.420158386230469,-16.93548583984375
-5.87152099609375,-15.86546516418457,-11.490618705749512
-3.6473445892333984,-14.968877792358398,-14.72829818725586
7.175294876098633,-7.906391143798828,-11.186592102050781
-6.207061767578125,-15.31635856628418,-10.240923881530762
-7.991273880004883,-13.499788284301758,-7.683114051818848
-6.6192474365234375,-13.748615264892578,-14.387935638427734
-11.625568389892578,-15.42813491821289,-12.727389335632324
-7.785527229309082,-15.2320556640625,-15.649953842163086
-9.64810562133789,-13.767215728759766,-8.112293243408203
-1.4993247985839844,-13.883268356323242,-5.13776969909668
-7.117336273193359,-14.061580657958984,-14.590361595153809
-13.19693374633789,-16.598222732543945,-14.310741424560547
-1.1213760375976562,-12.660101890563965,9.86278247833252
0.4765281677246094,-14.801618576049805,-15.940093994140625
-5.444282531738281,-15.598060607910156,-16.512174606323242
1.0688705444335938,-9.431217193603516,17.692995071411133
-14.001275062561035,-16.287612915039062,-12.516462326049805
-5.136655807495117,-12.886157989501953,-7.013124465942383
-2.157939910888672,-14.479877471923828,-14.823240280151367
-11.092305183410645,-16.073665618896484,-15.297557830810547
-11.336883544921875,-15.053054809570312,-17.11893081665039
-13.097269058227539,-13.923823356628418,-16.368175506591797
-12.631224632263184,-14.636967658996582,-11.385988235473633
-6.584007263183594,-13.754035949707031,-0.2877330780029297
0.4765281677246094,-14.801618576049805,-15.990384101867676
-8.095316886901855,-14.781655311584473,-15.821157455444336
-12.035247802734375,-16.140811920166016,-6.727985382080078
-15.963611602783203,-15.794418334960938,-15.613216400146484
-5.136655807495117,-12.886157989501953,-5.30091667175293
-2.157939910888672,-14.479877471923828,1.5978431701660156
-15.033706665039062,-15.1223726272583,-15.608309745788574
-1.1213760375976562,-12.660101890563965,-7.731729507446289
-12.934948921203613,-15.015250205993652,-16.581010818481445
-7.991273880004883,-13.499788284301758,14.23805046081543
0.35511207580566406,-14.064720153808594,-16.673280715942383
-14.728958129882812,-16.00148582458496,-13.560623168945312
-12.614933013916016,-16.703914642333984,-17.192916870117188
-10.930073738098145,-15.779542922973633,-16.351713180541992
-4.727452278137207,-12.052221298217773,5.374098777770996
-2.332599639892578,-8.604117393493652,-13.843198776245117
-7.991300582885742,-13.499788284301758,-10.656193733215332
-5.227582931518555,-15.021735191345215,3.363215446472168
-11.720159530639648,-16.122394561767578,-16.58488655090332
-5.8934431076049805,-15.303503036499023,-16.01018524169922
-5.007232666015625,-12.572088241577148,-14.623220443725586
-4.884366989135742,-15.027839660644531,-13.24713134765625
-10.04878044128418,-13.98904800415039,-16.508920669555664
-8.621221542358398,-14.537359237670898,-16.05454444885254
-10.930092811584473,-15.779542922973633,-15.122407913208008
-11.049416542053223,-13.028913497924805,-4.626047134399414
-5.300086975097656,-14.863795280456543,-9.130951881408691
-4.795948028564453,-10.431072235107422,-9.383516311645508
-4.445652008056641,-15.022302627563477,-15.715375900268555
-12.649731636047363,-15.868295669555664,-16.807815551757812
-15.963603019714355,-15.794418334960938,-16.45857810974121
0.7287006378173828,-14.141542434692383,-12.604167938232422
