1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
1	168
2	177
3	156
4	170
