0	premise_first	0.45
0	premise_last	0.43
0	conclusion_first	0.52
0	conclusion_last	0.52
0	last	0.49
5	premise_first	0.47
5	premise_last	0.48
5	conclusion_first	0.52
5	conclusion_last	0.51
5	last	0.49
10	premise_first	0.44
10	premise_last	0.49
10	conclusion_first	0.53
10	conclusion_last	0.58
10	last	0.49
15	premise_first	0.48
15	premise_last	0.44
15	conclusion_first	0.63
15	conclusion_last	0.62
15	last	0.5
20	premise_first	0.48
20	premise_last	0.44
20	conclusion_first	0.6
20	conclusion_last	0.59
20	last	0.56
25	premise_first	0.49
25	premise_last	0.46
25	conclusion_first	0.62
25	conclusion_last	0.57
25	last	0.79
30	premise_first	0.48
30	premise_last	0.51
30	conclusion_first	0.61
30	conclusion_last	0.57
30	last	0.79
35	premise_first	0.46
35	premise_last	0.49
35	conclusion_first	0.55
35	conclusion_last	0.54
35	last	0.78
41	premise_first	0.48
41	premise_last	0.48
41	conclusion_first	0.48
41	conclusion_last	0.48
41	last	0.75
