0	premise_first	0.43
0	premise_last	0.47
0	conclusion_first	0.2
0	conclusion_last	0.38
0	last	0.47
5	premise_first	0.46
5	premise_last	0.38
5	conclusion_first	0.34
5	conclusion_last	0.24
5	last	0.47
10	premise_first	0.46
10	premise_last	0.45
10	conclusion_first	0.39
10	conclusion_last	0.3
10	last	0.49
15	premise_first	0.49
15	premise_last	0.44
15	conclusion_first	0.48
15	conclusion_last	0.51
15	last	0.49
20	premise_first	0.48
20	premise_last	0.45
20	conclusion_first	0.46
20	conclusion_last	0.53
20	last	0.49
25	premise_first	0.5
25	premise_last	0.47
25	conclusion_first	0.46
25	conclusion_last	0.46
25	last	0.54
30	premise_first	0.48
30	premise_last	0.47
30	conclusion_first	0.46
30	conclusion_last	0.48
30	last	0.5
35	premise_first	0.48
35	premise_last	0.47
35	conclusion_first	0.49
35	conclusion_last	0.48
35	last	0.5
41	premise_first	0.46
41	premise_last	0.46
41	conclusion_first	0.46
41	conclusion_last	0.46
41	last	0.46
