1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
1	124
2	119
3	122
4	117
