1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
1	130
2	135
3	132
4	139
