0	premise_first	0.52
0	premise_last	0.51
0	conclusion_first	0.54
0	conclusion_last	0.53
0	last	0.56
5	premise_first	0.56
5	premise_last	0.54
5	conclusion_first	0.61
5	conclusion_last	0.67
5	last	0.56
10	premise_first	0.54
10	premise_last	0.54
10	conclusion_first	0.67
10	conclusion_last	0.74
10	last	0.55
15	premise_first	0.56
15	premise_last	0.57
15	conclusion_first	0.59
15	conclusion_last	0.57
15	last	0.8
20	premise_first	0.55
20	premise_last	0.54
20	conclusion_first	0.56
20	conclusion_last	0.56
20	last	0.76
25	premise_first	0.56
25	premise_last	0.56
25	conclusion_first	0.56
25	conclusion_last	0.56
25	last	0.69
